source,titre,prix,type_annonce,ville,quartier,nb_chambres,nb_sdb,surface_m2,date_publication,date_scraping,url,image_url
mauri-home.com,"Duplex Meublé, Route de Nouadhibou",30000 MRU,Location,Nouakchott,Ilot F Nord,3,4,Non spécifié,Non spécifiée,2026-02-14,Non spécifié,https://wsrv.nl/?url=https%3A%2F%2Flagence-mr.com%2Fwp-content%2Fuploads%2F2024%2F01%2F09-1.png&w=500&q=85&output=webp
mauri-home.com,Appartement meublé,35000 MRU,Location,Nouakchott,Ilot F Nord,2,2,Non spécifié,Non spécifiée,2026-02-14,Non spécifié,https://wsrv.nl/?url=https%3A%2F%2Flagence-mr.com%2Fwp-content%2Fuploads%2F2023%2F11%2F719A84D0-0080-4D22-A604-678797A3B942.jpeg&w=500&q=85&output=webp
mauri-home.com,Résidence d'appartements meublés,30000 MRU,Location,Nouakchott,Ilot F Nord,2,18,Non spécifié,Non spécifiée,2026-02-14,Non spécifié,https://wsrv.nl/?url=https%3A%2F%2Flagence-mr.com%2Fwp-content%2Fuploads%2F2023%2F12%2F87D91E2C-70D5-48A4-A367-58A672016816.jpeg&w=500&q=85&output=webp
mauri-home.com,Maison à louer,60000 MRU,Location,Nouakchott,Ilot F Nord,5,2,Non spécifié,Non spécifiée,2026-02-14,Non spécifié,https://wsrv.nl/?url=https%3A%2F%2Flagence-mr.com%2Fwp-content%2Fuploads%2F2025%2F05%2FCapture-decran-2025-05-26-a-10.46.29.png&w=500&q=85&output=webp
mauri-home.com,Duplexe meublé à louer,80000 MRU,Location,Nouakchott,Ilot F Nord,2,2,Non spécifié,Non spécifiée,2026-02-14,Non spécifié,https://wsrv.nl/?url=https%3A%2F%2Flagence-mr.com%2Fwp-content%2Fuploads%2F2025%2F05%2FCapture-decran-2025-05-26-a-11.45.44.png&w=500&q=85&output=webp
mauri-home.com,Duplex meublé,92000 MRU,Location,Nouakchott,Ilot F Nord,3,3,Non spécifié,Non spécifiée,2026-02-14,Non spécifié,https://wsrv.nl/?url=https%3A%2F%2Flagence-mr.com%2Fwp-content%2Fuploads%2F2024%2F01%2F52FCBB5B-3765-44D2-BC2C-CACDE6DE5F0F.jpeg&w=500&q=85&output=webp
mauri-home.com,Propriété d'exception,30000 MRU,Location,Nouakchott,Ilot F Nord,2,10,Non spécifié,Non spécifiée,2026-02-14,Non spécifié,https://wsrv.nl/?url=https%3A%2F%2Flagence-mr.com%2Fwp-content%2Fuploads%2F2024%2F01%2FIMG_9975.jpg&w=500&q=85&output=webp
mauri-home.com,Appartement Haut standing,60000 MRU,Location,Nouakchott,Ilot F Nord,2,2,Non spécifié,Non spécifiée,2026-02-14,Non spécifié,https://wsrv.nl/?url=https%3A%2F%2Flagence-mr.com%2Fwp-content%2Fuploads%2F2025%2F05%2FCapture-decran-2025-05-15-a-10.32.57.png&w=500&q=85&output=webp
mauri-home.com,Appartement neuf à louer,90000 MRU,Location,Nouakchott,Ilot F Nord,2,3,300 m²,Non spécifiée,2026-02-14,Non spécifié,https://wsrv.nl/?url=https%3A%2F%2Flagence-mr.com%2Fwp-content%2Fuploads%2F2024%2F03%2F10.jpg&w=500&q=85&output=webp
mauri-home.com,Maison neuve,60000 MRU,Location,Nouakchott,Ilot F Nord,4,4,Non spécifié,Non spécifiée,2026-02-14,Non spécifié,https://wsrv.nl/?url=https%3A%2F%2Flagence-mr.com%2Fwp-content%2Fuploads%2F2023%2F12%2F29C3DA5E-2EB8-4B53-9EA1-8412E0CF485A.jpeg&w=500&q=85&output=webp
